prova,local,link,data
CORRIDA E CAMINHADA DO PROCON,"VITÓRIA, ES",https://www.chronomax.com.br/index.php/Maxraceresults/dados/77;,2017-SET-24
2ª EDEN BEER MILE RUN,"MARINGÁ, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/157;,2018-MAR-11
MR. CAT - WASHED BY THE SEA 2017,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/143;,2017-DEZ-03
ECOVILLAS AQUARUN 2018 - ETAPA 1,"SERTANÓPOLIS, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/233;,2018-MAR-31
UDC RUN,"FOZ DO IGUAÇÚ, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/72;,2017-OUT-08
BLUMENAU NIGHT RUN SICREDI,"BLUMENAU, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/79;,2017-SET-16
CORRIDA BENEFICENTE CEMAE EM AÇÃO,"CAMPO LARGO, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/78;,2017-SET-17
JOGOS CARIOCAS DE VERÃO 2018 - SUP,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/240;,2018-MAR-11
CIRCUITO SÃO JOSÉ DOS PINHAIS – ETAPA DA JUVENTUDE,"SAO JOSE DOS PINHAIS, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/49;,2017-DEZ-02
DESAFIO NÓRDICO 2018,"UNIÃO DA VITÓRIA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/197;,2018-MAR-25
DIVAS RUN,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/230;,2018-ABR-15
5ª CORRIDA E CAMINHADA GOMES DA COSTA,"ITAJAI, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/73;,2017-OUT-08
MEIA MARATONA DE NITERÓI 2017,"NITERÓI, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/167;,2017-SET-17
MEIA MARATONA DE SÃO JOSÉ,"SÃO JOSÉ, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/94;,2018-MAR-10
CIANORTE NIGHT RUN – CINTURÃO VERDE,"CIANORTE, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/50;,2017-DEZ-02
CIRCUITO RIO ANTIGO - ETAPA LAPA 2018,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/227;,2018-MAR-25
8ª EDIÇÃO THE STRONGS,"IGARASSU, PE",https://www.chronomax.com.br/index.php/Maxraceresults/dados/260;,2018-ABR-29
II CORRIDA E CÃOMINHADA ABRIGO JOÃO ROSA,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/245;,2018-ABR-15
4ª CORRIDA RÚSTICA PM DE BRUSQUE,"BRUSQUE, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/242;,2018-MAI-20
UNIMED INSPIRA 2018 - ETAPA DAY,"LONDRINA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/232;,2018-MAR-25
1ª COPA TREINO BIKE HOUSE/VELHO OESTE,"CASCAVEL, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/297;,2018-JUN-09
LONDRISOFT NIGHT RUN,"Londrina, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/241;,2018-MAR-10
III CORRIDA CIDADE DE DOIS VIZINHOS,"DOIS VIZINHOS, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/51;,2017-NOV-28
CIRCUITO SAÚDE ETAPA SÃO PAULO,"SÃO PAULO, SP",https://www.chronomax.com.br/index.php/Maxraceresults/dados/272;,2018-ABR-29
7ª CORRIDA E CAMINHADA DO DIA INTERNACIONAL DA MULHER,"FOZ DO IGUAÇÚ, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/255;,2018-ABR-15
26ª CORRIDA E CAMINHADA PELO CÉLIO DE BARROS,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/250;,2018-MAI-20
MADMAN 2017,"PETROPOLIS, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/152;,2017-NOV-11
CORRIDA DO BEM MARINGÁ,"MARINGÁ, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/159;,2018-MAR-18
CIRCUITO DECATHLON OFF-ROAD - ETAPA 2,"LONDRINA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/302;,2018-JUN-24
4ª CORRIDA INTEGRAÇÃO RIBEIRÃO PRETO,"RIBEIRÃO PRETO, SP",https://www.chronomax.com.br/index.php/Maxraceresults/dados/317;,2018-JUL-22
EXTREME ADVENTURE RACE,"SAQUAREMA, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/239;,2018-MAR-04
THE STRONGS – CORRIDA DE OBSTÁCULOS – 3ª ETAPA 2017,"IGARASSU, PE",https://www.chronomax.com.br/index.php/Maxraceresults/dados/52;,2017-NOV-26
CORRIDA SOLDADO DO BOPE NAS TREVAS,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/229;,2018-ABR-14
"CORRO PRA COMER, COMO PRA CORRER","RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/251;,2018-MAI-20
CORRIDA DO CORAÇÃO,"Londrina, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/62;,2017-NOV-05
