prova,local,data,link
XTERRA - MARIANA,"MARIANA, MG",2022-03-12,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1905/xterra_mariana.clax;
XTERRA - ILHA BELA,"ILHA BELA, SP",2022-05-07,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1929/xterra_ilhabela.clax;
BROTHER TOP AQUATHLON,"VITORIA, ES",2022-06-11,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2126/brother_top.clax;
1ª CORRIDA DE RUA CARDIO BEAT DE RONDON,"RONDON, PR",2022-08-07,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2090/cardio_beat_rondon.clax;
2ª CORRIDA DAS PEROBAS,"CIANORTE, PR",2022-09-25,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2113/corrida_perobas.clax;
1ª CORRIDA DA BRIGADA PÁRA-QUEDISTA,"RIO DE JANEIRO, RJ",2022-12-11,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1235;
CORRIDA CENTENÁRIA DO  DO AVAI - 2023,"FLORIANÓPOLIS , SC",2023-08-06,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2700/corrida_centenario_do_avai.clax;
POA DAY RUN - 2023 - ETAPA 2,"PORTO ALEGRE, RS",2023-08-20,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2368/poa_day_run_etapa2.clax;
CIRCUITO CARIOCA DE CICLISMO - ETAPA PORTO MARAVILHA,"RIO DE JANEIRO, RJ",2022-02-06,https://www.chronomax.com.br/index.php/Maxraceresults/dados/914;
CIRCUITO CORRIDA INCLUSIVA IV - ETAPA INDAIATUBA,"INDAIATUBA, SP",2022-04-10,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1888/corrida_inclusiva_indaiatuba.clax;
HAPPY RUNNING VILLA LOBOS,"SÃO PAULO, SP",2022-05-29,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2081/happy_running_v_lobos.clax;
CORPORATE RUN 2022,"SÃO PAULO, SP",2022-08-28,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2217/corporate_run.clax;
WTR ON CAMPOS DO JORDÃO 2022 - MTB,"CAMPOS DO JORDÃO, ",2022-10-16,https://chronomax.com.br/resultados/g-live.html?f=neorace/2022/outubro/wtrcj/wtrcj22.clax;
XTERRA PARATY 2022,"PARATY, RJ",2022-11-12,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1933/xterra_paraty.clax;
3H CAPUAVA,"INDAIATUBA, SP",2022-12-04,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2107/3h_capuava.clax;
CORRIDA BEM - PARANÁ - 2023,"MARINGÁ , PR",2023-04-02,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2445/corrida_bem_maringa.clax;
MARATONA ABRAS DE REVEZAMENTO - 2023,"SÃO PAULO, SP",2023-04-16,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2424/maratona_abras.clax;
TRAVESSIA POLIANA OKIMOTO 2023,"SÃO PAULO, SP",2023-06-04,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2408/travessia_poliana_okimoto.clax;
HOKA SPEED RUN - SÃO PAULO - 2023,"SÃO PAULO, SP",2023-07-02,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2575/hoka_speed_run.clax;
MISSIONÁRIA NIGHT RUN - 2023 - MARINGA,"MARINGÁ , PR",2023-09-09,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2722/missionaria_night_run.clax;
32º TROFÉU BRASIL 2023 - ESTAPA 3,"SANTOS, SP",2023-09-17,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2459/tbt_etapa3.clax;
