id_evento,nome,data,cidade,estado,tipo_evento,evento_terceiro,organizador,id_organizador
36395,1ª Corrida ETECAMP,2019-06-09 00:00:00,Campo Limpo Paulista,SP,Corrida de Rua,1,,0
36388,PascoMAPA 2019,2019-04-19 00:00:00,S&atilde;o Bernardo do Campo,SP,Corrida de Rua,1,,0
36387,3ª CORRIDA E CAMINHADA NÓS FAZEMOS A DIFERENÇA - ETAPA PETRÓPOLIS,2019-04-07 00:00:00,Petr&oacute;polis,RJ,Corrida de Rua,1,,0
36383,Corre São Paulo,2019-07-07 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
36384,18ª Corrida da Fogueira BOCA LOKA,2019-06-23 00:00:00,Jaboat&atilde;o dos Guararapes,PE,Corrida de Rua,1,,0
36385,Eco Run,2019-08-25 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
36382,11ª CORRIDA DE CASAIS DA LAGOA RODRIGO DE FREITAS,2019-04-14 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,,0
36376,3ª Corrida do Bombeiro,2019-05-05 00:00:00,Belo Horizonte,MG,Corrida de Rua,1,,0
36377,2ª Corrida de rua Voando Baixo Itabirito,2019-05-26 00:00:00,Itabirito,MG,Corrida de Rua,1,,0
36381,Desafio dos Romeiros,2019-06-23 00:00:00,Trindade,GO,Corrida de Rua,1,,0
36375,Treino Corre Brasil no Ibirapuera,2019-03-24 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
36366,3ª Corrida e Caminhada Pisa Leve,2019-03-10 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,,0
36365,4ª Corrida e Caminhada Mercado Central,2019-06-09 00:00:00,Belo Horizonte,MG,Corrida de Rua,1,,0
36367,Circuito Samparunners KIDS Corrida Infantil - Etapa Pascoa,2019-04-07 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
36372,“Corrida e Caminhada pela Inclusão Olga Kos – Ano V”,2019-03-31 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
36364,6ª SP Dog Run,2019-04-07 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
36363,Corrida Junina,2019-06-29 00:00:00,Belo Horizonte,MG,Corrida de Rua,1,,0
36353,29º Troféu Brasil de Triathlon - COMBO,2019-04-07 00:00:00,Santos,SP,Triathlon,1,,0
36354,Meia Maratona Internacional de Florianópolis,2019-11-24 00:00:00,Florian&oacute;polis,SC,Corrida de Rua,1,,0
36349,1ª CORRIDA / CAMINHADA CAPITÃO RUNNING,2019-06-15 00:00:00,S&atilde;o Vicente,SP,Corrida de Rua,1,,0
36314,20ª Corrida Rústica e Caminhada  De Alcântara,2019-04-07 00:00:00,S&atilde;o Gon&ccedil;alo,RJ,Corrida de Rua,1,,0
36359,29º Troféu Brasil de Triathlon - 4ª Etapa - 2019,2019-12-08 00:00:00,Santos,SP,Triathlon,1,,0
36352,29º Troféu Brasil de Triathlon - 3ª Etapa - 2019,2019-10-06 00:00:00,Santos,SP,Triathlon,1,,0
36351,V CORRIDA DOS NAMORADOS 2019,2019-06-30 00:00:00,Macap&aacute;,AP,Corrida de Rua,1,,0
36344,TREINÃO VOLTA AO LAGO ALDEIA DA SERRA RUN,2019-04-28 00:00:00,Barueri,SP,Corrida de Rua,1,,0
36346,DESAFIO DO SAL,2019-11-17 00:00:00,Uyuni,PO,Corrida de Rua,1,,0
36348,29º Troféu Brasil de Triathlon - 1ª Etapa - 2019,2019-04-07 00:00:00,Santos,SP,Triathlon,2,,0
36350,29º Troféu Brasil de Triathlon - 2ª Etapa - 2019,2019-06-30 00:00:00,Santos,SP,Triathlon,2,,0
36347,DUNAMUS X URBAN,2019-04-28 00:00:00,Campinas,SP,Corrida de Obst&aacute;culos,1,,0
36332,Campeonato Paulista de Maratonas Aquáticas 2019 - II Etapa - 31/03,2019-03-31 00:00:00,S&atilde;o Sebasti&atilde;o,SP,Travessia,1,,0
36342,29ª CORRIDA DE CONFRATERNIZAÇÃO PELA RECONSTRUÇÃO DO ESTÁDIO DE ATLÈTISMO CÉLIO DE BARROS,2019-03-10 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,,0
36343,Corrida Rústica Estância Alto da Serra,2019-07-21 00:00:00,S&atilde;o Bernardo do Campo,SP,Corrida de Rua,1,,0
36338,Uninter 21k BC - 5º Meia Maratona de Aniversario de Balneário Camboriú,2019-07-07 00:00:00,Balne&aacute;rio Cambori&uacute;,SC,Corrida de Rua,1,,0
36341,Campeonato Paulista de Maratonas Aquáticas 2019 - II Etapa - 30/03,2019-03-30 00:00:00,S&atilde;o Sebasti&atilde;o,SP,Travessia,1,,0
36326,Super Night Run,2019-05-25 00:00:00,Indaiatuba,SP,Corrida de Rua,1,,0
36329,I Meia Maratona de Chiador,2019-07-21 00:00:00,Chiador,MG,Corrida de Rua,1,,0
36331,V CICORRE,2019-05-12 00:00:00,Recife,PE,Corrida de Rua,1,,0
36340,Multi desafio ASIPECA,2019-04-14 00:00:00,Sorocaba,SP,Corrida de Rua,1,,0
36330,IV CICORRE,2019-04-07 00:00:00,Recife,PE,Corrida de Rua,1,,0
36327,III CICORRE,2019-03-17 00:00:00,Recife,PE,Corrida de Rua,1,,0
36325,Corrida Juatuba 2019,2019-04-28 00:00:00,Juatuba,MG,Corrida de Rua,1,,0
36322,COPA SÃO PAULO DE MOUNTAIN BIKE- 1ª etapa,2019-03-24 00:00:00,Santa Isabel,SP,Bike,1,,0
36323,Itajai 21k - 6º Meia Maratona em Itajai,2019-05-19 00:00:00,Itaja&iacute;,SC,Corrida de Rua,1,,0
36324,Eclipse Night Run – Etapa Praia de Piratininga,2019-03-30 00:00:00,Niter&oacute;i,RJ,Corrida de Rua,1,,0
36316,Corro Pra Comer Como Pra Correr Night Run,2019-05-18 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,,0
36312,1º DESAFIO XARAÉS DE MTB,2019-07-07 00:00:00,Corumb&aacute;,MS,Bike,1,,0
36308,Corrida Flip das Equipes,2019-04-14 00:00:00,Belo Horizonte,MG,Corrida de Rua,1,,0
36310,3ª Corrida Oficial de Itapevi,2019-02-24 00:00:00,Itapevi,SP,Corrida de Rua,1,,0
36304,16ª Corrida das Pontes do Recife,2019-03-31 00:00:00,Recife,PE,Corrida de Rua,1,,0
36299,ULTRAMAPA,2019-09-07 00:00:00,S&atilde;o Bernardo do Campo,SP,Corrida de Rua,1,,0
36307,6ª Corrida e Caminhada Eu Amo o Rio,2019-04-07 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,,0
36298,CARNAMAPA,2019-03-05 00:00:00,S&atilde;o Bernardo do Campo,SP,Corrida de Rua,1,,0
36306,Campeonato Paulista de Maratonas Aquáticas 2019,2019-03-09 00:00:00,Avar&eacute;,SP,Travessia,1,,0
36297,2ª Corrida Tiradentes,2019-04-21 00:00:00,Jaboat&atilde;o dos Guararapes,PE,Corrida de Rua,1,,0
36287,Corrida das Pontes,2019-02-17 00:00:00,S&atilde;o Bernardo do Campo,SP,Corrida de Rua,1,,0
36288,3ª Corrida e Caminhada Shopping Taboão,2019-03-17 00:00:00,Tabo&atilde;o da Serra,SP,Corrida de Rua,1,,0
36296,2ª Corrida e Caminhada CETAC,2019-05-01 00:00:00,Caieiras,SP,Corrida de Rua,1,,0
